Disease,Title,Journal,Year,PMID
s disease,Rare but relevant: Methamphetamine and Parkinson's disease.,"Addiction (Abingdon, England)",2024,39434702
s Disease,Expression of AQP8 in Serum of Patients With Meniere's Disease and Its Value in Evaluating the Degree of Hydrolabyrinth and Predicting Prognosis.,Clinical otolaryngology : official journal of ENT-UK ; official journal of Netherlands Society for Oto-Rhino-Laryngology & Cervico-Facial Surgery,2024,39434677
Congenital heart disease,[Congenital heart disease and PFAS: a relationship to be studied in contaminated areas].,Epidemiologia e prevenzione,2024,39434635
Steps to understanding diabetes kidney disease,Steps to understanding diabetes kidney disease: a focus on metabolomics.,The Korean journal of internal medicine,2024,39434603
Current status of modifiable risk factors for cardiovascular disease,Current status of modifiable risk factors for cardiovascular disease in Korean women.,The Korean journal of internal medicine,2024,39434602
Repeatability of Corneal Epithelial Thickness Map Using Anterior Segment Optical Coherence Tomography in Normal and Corneal Disease,Repeatability of Corneal Epithelial Thickness Map Using Anterior Segment Optical Coherence Tomography in Normal and Corneal Disease Patients.,Korean journal of ophthalmology : KJO,2024,39434576
s disease,Generation of nanobodies with conformational specificity for tau oligomers that recognize tau aggregates from human Alzheimer's disease samples.,Biomaterials science,2024,39434503
s Disease,"""Reply: Improving Insight and Application: A Commentary on the Link between Initial Depression and Anxiety and Long-Term Health Outcomes in Parkinson's Disease Patients"".",Movement disorders clinical practice,2024,39434459
cardiovascular disease,"The associations between functional vitamin K status and all-cause mortality, cardiovascular disease and end-stage kidney disease in persons with type 1 diabetes.","Diabetes, obesity & metabolism",2024,39434445
stage kidney disease,"The associations between functional vitamin K status and all-cause mortality, cardiovascular disease and end-stage kidney disease in persons with type 1 diabetes.","Diabetes, obesity & metabolism",2024,39434445
s disease,Suppressing DUSP16 overexpression induced by ELK1 promotes neural progenitor cell differentiation in mouse models of Alzheimer's disease.,Aging cell,2024,39434411
Predictive factors for interstitial lung disease,Predictive factors for interstitial lung disease progression in a Singapore systemic sclerosis cohort: a multicentre study.,Singapore medical journal,2024,39434385
The relationship between vitamin D status and disease,The relationship between vitamin D status and disease activity in Iraqi systemic lupus erythematosus patients.,JPMA. The Journal of the Pakistan Medical Association,2024,39434298
Risk Stratification for Chronic Kidney Disease,Risk Stratification for Chronic Kidney Disease After Liver Transplant for Metabolic Dysfunction-associated Steatohepatitis (MASH) Cirrhosis: Results From the NailMASH Consortium.,Transplantation,2024,39434206
Suspected Pseudobulbar Affect in Neurodegenerative Disease,Suspected Pseudobulbar Affect in Neurodegenerative Disease.,International journal of geriatric psychiatry,2024,39434195
alcoholic fatty liver disease,The association of fructose and fiber consumption and physical activity with non-alcoholic fatty liver disease in children and adolescents: a cross-sectional study.,BMC nutrition,2024,39434194
assessing the impact of irrigation and pathogen burden on potato blackleg disease,Balancing the scales: assessing the impact of irrigation and pathogen burden on potato blackleg disease and soil microbial communities.,Microbiome,2024,39434184
s disease,PS1/gamma-secretase acts as rogue chaperone of glutamate transporter EAAT2/GLT-1 in Alzheimer's disease.,Acta neuropathologica communications,2024,39434170
s disease,Data-independent acquisition proteomic analysis of the brain microvasculature in Alzheimer's disease identifies major pathways of dysfunction and upregulation of cytoprotective responses.,Fluids and barriers of the CNS,2024,39434151
s disease,Amyloid-β (Aβ) immunotherapy induced microhemorrhages are linked to vascular inflammation and cerebrovascular damage in a mouse model of Alzheimer's disease.,Molecular neurodegeneration,2024,39434125
Factors influencing the turnover intention for disease,Factors influencing the turnover intention for disease control and prevention workers in Northeast China: an empirical analysis based on logistic-ISM model.,BMC health services research,2024,39434108
A comprehensive study of genetic regulation and disease,A comprehensive study of genetic regulation and disease associations of plasma circulatory microRNAs using population-level data.,Genome biology,2024,39434104
Associations between the geriatric nutritional risk index and the risk of and mortality associated with chronic kidney disease,Associations between the geriatric nutritional risk index and the risk of and mortality associated with chronic kidney disease in older individuals.,BMC public health,2024,39434051
s Disease,The Black and African American Connections to Parkinson's Disease (BLAAC PD) study protocol.,BMC neurology,2024,39434044
and mineral bone disorder in children with chronic kidney disease,"Carotid intima-media thickness, fibroblast growth factor 23, and mineral bone disorder in children with chronic kidney disease.",BMC nephrology,2024,39433982
Advanced technologies for the development of infectious disease,Advanced technologies for the development of infectious disease vaccines.,Nature reviews. Drug discovery,2024,39433939
gene responsible for glycogen storage disease,"SLC37A4, gene responsible for glycogen storage disease type 1b, regulates gingival epithelial barrier function via JAM1 expression.",Scientific reports,2024,39433915
host disease,Post-transplant cyclophosphamide with post-engraftment anti-thymocyte globulin reduce moderate to severe chronic graft-versus-host disease in peripheral stem cell transplantation from HLA-matched unrelated and haploidentical donors.,Bone marrow transplantation,2024,39433913
Harnessing symbiotic bacteria for disease,Harnessing symbiotic bacteria for disease control.,Nature reviews. Microbiology,2024,39433905
Pushing the boundaries of rare disease,Pushing the boundaries of rare disease diagnostics with the help of the first Undiagnosed Hackathon.,Nature genetics,2024,39433890
s disease,A meta-analysis of bulk RNA-seq datasets identifies potential biomarkers and repurposable therapeutics against Alzheimer's disease.,Scientific reports,2024,39433822
s disease,"Grip strength, genetic predisposition, and Incident Parkinson's disease: a prospective cohort study in the UK Biobank.",NPJ Parkinson's disease,2024,39433787
Altered drug metabolism and increased susceptibility to fatty liver disease in a mouse model of myotonic dystrophy,Altered drug metabolism and increased susceptibility to fatty liver disease in a mouse model of myotonic dystrophy.,Nature communications,2024,39433769
Circadian chronotherapies of coronary heart disease,Circadian chronotherapies of coronary heart disease and its biological risk factors: A United States Prescribers' Digital Reference-based review.,Chronobiology international,2024,39433737
investigating airway involvement in autosomal dominant polycystic kidney disease,Beyond the kidneys: investigating airway involvement in autosomal dominant polycystic kidney disease through nasal nitric oxide profiling : A transversal single-center observational study.,Journal of nephrology,2024,39433723
Atypical disseminated herpes zoster infections in patients with demyelinating disease,Atypical disseminated herpes zoster infections in patients with demyelinating disease treated with dimethyl fumarate.,Journal of neurovirology,2024,39433711
s disease,Artemisiae Iwayomogii Herba mitigates excessive neuroinflammation and Aβ accumulation by regulating the pro-inflammatory response and autophagy-lysosomal pathway in microglia in 5xFAD mouse model of Alzheimer's disease.,GeroScience,2024,39433702
Disease,Assessment the Efficacy of the CRISPR System for Inducing Mutations in the AIMP2 Gene to Create a Cell Line Model of HLD17 Disease.,Molecular biotechnology,2024,39433694
Alendronate preserves bone mineral density in adults with sickle cell disease,Alendronate preserves bone mineral density in adults with sickle cell disease and osteoporosis.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2024,39433652
Dendrite injury triggers neuroprotection in Drosophila models of neurodegenerative disease,Dendrite injury triggers neuroprotection in Drosophila models of neurodegenerative disease.,Scientific reports,2024,39433621
synuclein seed amplification assay sensitivity may be associated with cardiac MIBG abnormality among patients with Lewy body disease,α-synuclein seed amplification assay sensitivity may be associated with cardiac MIBG abnormality among patients with Lewy body disease.,NPJ Parkinson's disease,2024,39433540
s Disease,Dermatoscopic Radial Rippling of Pigment: A Potential Indicator of Pigmented Bowen's Disease.,Skinmed,2024,39433530
Uric acid and risk of incident heart failure in individuals with cardiovascular disease,Uric acid and risk of incident heart failure in individuals with cardiovascular disease.,"Nutrition, metabolism, and cardiovascular diseases : NMCD",2024,39433455
associated steatotic liver disease,Serum uric acid and mortality in metabolic dysfunction-associated steatotic liver disease: Subgroup differences.,"Nutrition, metabolism, and cardiovascular diseases : NMCD",2024,39433453
Sachs disease,Eye is a window to systemic pathology: cherry-red spot to diagnose Tay-Sachs disease.,BMJ case reports,2024,39433395
Polyarteritis nodosa mimics Kawasaki disease,Polyarteritis nodosa mimics Kawasaki disease.,BMJ case reports,2024,39433394
Supporting Infants with Multicystic Dysplastic Kidney Disease,Supporting Infants with Multicystic Dysplastic Kidney Disease: A Comprehensive Approach.,Neonatal network : NN,2024,39433342
Cushing disease,Cushing disease presenting with hypertension in association with nonfunctioning unilateral adrenal adenoma.,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,2024,39433316
Pattern of hospital admissions and costs associated with acute rheumatic fever and rheumatic heart disease,"Pattern of hospital admissions and costs associated with acute rheumatic fever and rheumatic heart disease in Australia, 2012-2017.",Australian health review : a publication of the Australian Hospital Association,2024,39433298
Phosphorous metabolism and manipulation in chronic kidney disease,Phosphorous metabolism and manipulation in chronic kidney disease.,"Nephrology (Carlton, Vic.)",2024,39433296
A Review of Celiac Disease,A Review of Celiac Disease and Its Implications on Fertility and Pregnancy.,Seminars in reproductive medicine,2024,39433286
The metabolic landscape of the RPE in aging and disease,Eye on the horizon: The metabolic landscape of the RPE in aging and disease.,Progress in retinal and eye research,2024,39433211
augmented digital auscultation platform in valvular heart disease,External evaluation of a commercial artificial intelligence-augmented digital auscultation platform in valvular heart disease detection using echocardiography as reference standard.,International journal of cardiology,2024,39433158
s disease,Omnidirectional improvement of mitochondrial health in Alzheimer's disease by multi-targeting engineered activated neutrophil exosomes.,Journal of controlled release : official journal of the Controlled Release Society,2024,39433157
Walking training decreases cardiovascular load after walking to maximal intermittent claudication in patients with peripheral artery disease,Walking training decreases cardiovascular load after walking to maximal intermittent claudication in patients with peripheral artery disease.,Current problems in cardiology,2024,39433144
related treatments on blood lipid levels in patients with coronary heart disease,Effects of acupuncture-related treatments on blood lipid levels in patients with coronary heart disease: A comprehensive review and network meta-analysis.,Complementary therapies in medicine,2024,39433110
s disease,Surface engineered nano architectonics: An evolving paradigm for tackling Alzheimer's disease.,Life sciences,2024,39433085
s disease based on molecular characteristics and disease,Advancing personalised precision treatment for Still's disease based on molecular characteristics and disease progression.,The Lancet. Rheumatology,2024,39433056
a systematic analysis for the Global Burden of Disease,"Global, regional, and national burden of pulmonary arterial hypertension, 1990-2021: a systematic analysis for the Global Burden of Disease Study 2021.",The Lancet. Respiratory medicine,2024,39433052
including fungal and oomycetal replant disease,"Biphenyl and dibenzofuran phytoalexins differentially inhibit root-associated microbiota in apple, including fungal and oomycetal replant disease pathogens.",Phytopathology,2024,39433045
Inhibitors in Patients with Advanced Chronic Kidney Disease,Comprehensive Evaluation of the Cardiovascular Protective Effects of SGLT2 Inhibitors in Patients with Advanced Chronic Kidney Disease: A Real-World Evidence.,American journal of nephrology,2024,39433037
s Disease,Magnetic Resonance-Guided Focused Ultrasound Thalamotomy for Essential Tremor in Fahr's Disease: Case Report.,Stereotactic and functional neurosurgery,2024,39433031
Discovering Novel Loci of Chronic Kidney Disease,Discovering Novel Loci of Chronic Kidney Disease via Principal Component Analysis based Multiple-trait Genome‑wide Association Study.,American journal of nephrology,2024,39433025
Associations between carotid plaques and white matter hyperintensities in cerebral small vessel disease,Associations between carotid plaques and white matter hyperintensities in cerebral small vessel disease.,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2024,39433006
Boostering motor imagery processing to improve gait in patients with Parkinson disease,Boostering motor imagery processing to improve gait in patients with Parkinson disease and freezing of gait: A pilot study.,Parkinsonism & related disorders,2024,39432961
resident T Cells Contribute to the Dynamic Disease,Skin-resident T Cells Contribute to the Dynamic Disease Manifestations of Psoriasis.,"Journal of immunology (Baltimore, Md. : 1950)",2024,39432869
s Disease,IL-23R-Specific Chimeric Antigen Receptor Tregs in Crohn's Disease: Dawn of a Cellular Immunotherapeutic Era?,Journal of Crohn's & colitis,2024,39432833
Dissecting the Neurovascular Unit in Human Diabetic Retinal Disease,Dissecting the Neurovascular Unit in Human Diabetic Retinal Disease.,Diabetes,2024,39432770
host disease,Single-cell transcriptome analysis reveals atypical monocytes circulating ahead of acute graft-versus-host disease clinical onset.,Journal of leukocyte biology,2024,39432735
ctDNA Testing for Minimal Residual Disease,ctDNA Testing for Minimal Residual Disease Assessment and Surveillance.,Diseases of the colon and rectum,2024,39432727
an Orally Bioavailable Factor Inhibiting HIF Inhibitor for the Treatment of Obesity and Fatty Liver Disease,"Discovery of ZG-2305, an Orally Bioavailable Factor Inhibiting HIF Inhibitor for the Treatment of Obesity and Fatty Liver Disease.",Journal of medicinal chemistry,2024,39432709
s disease,Basal ganglia theta power indexes trait anxiety in people with Parkinson's disease.,Brain : a journal of neurology,2024,39432676
Crohn disease,Hematopoietic stem cell transplantation therapy for refractory' Crohn disease: A systematic review and meta-analysis.,Medicine,2024,39432634
Atopic disease and inflammatory bowel disease,Atopic disease and inflammatory bowel disease: A bidirectional Mendelian randomization study.,Medicine,2024,39432625
enhanced ultrasound findings of sclerotic nodules in Wilson disease,Contrast-enhanced ultrasound findings of sclerotic nodules in Wilson disease: A case report.,Medicine,2024,39432607
Coronary heart disease,Coronary heart disease evaluation using PCAT radiomics model based on coronary CT angiography and pericoronary adipose tissue.,Medicine,2024,39432597
Progressive Understanding of Aortic Disease,Progressive Understanding of Aortic Disease.,Circulation,2024,39432572
Little disease,"Little disease but lots of bites: social, urbanistic, and entomological risk factors of human exposure to Aedes aegypti in South Texas, U.S.",PLoS neglected tropical diseases,2024,39432539
Aged Male With Liver Disease,<i>Clostridium paraputrificum</i> in a Middle-Aged Male With Liver Disease.,Journal of investigative medicine high impact case reports,2024,39432428
s disease,A systematic review of the efficacy and safety of anti-amyloid beta monoclonal antibodies in treatment of Alzheimer's disease.,Expert opinion on biological therapy,2024,39432414
Protein Signatures Associated with Early Diabetic Kidney Disease,Proteomic Analysis Uncovers Multi-Protein Signatures Associated with Early Diabetic Kidney Disease in Youth with Type 2 Diabetes Mellitus.,Clinical journal of the American Society of Nephrology : CJASN,2024,39432369
Penetration rates of behavioral health consultants targeting cardiovascular disease,Penetration rates of behavioral health consultants targeting cardiovascular disease and associated modifiable risk factors among military health care beneficiaries.,"Families, systems & health : the journal of collaborative family healthcare",2024,39432362
Impact of periodontal therapy on oral bacterial composition in individuals diagnosed with advanced periodontal disease,Impact of periodontal therapy on oral bacterial composition in individuals diagnosed with advanced periodontal disease.,Journal of medical microbiology,2024,39432357
Digital Biomarkers for Neurodegenerative Disease,Digital Biomarkers for Neurodegenerative Disease.,JAMA neurology,2024,39432291
Incident Parkinson Disease,"Hearing Loss, Incident Parkinson Disease, and Treatment With Hearing Aids.",JAMA neurology,2024,39432289
vessel coronary artery disease,Outcomes with revascularisation versus conservative management of participants with 3-vessel coronary artery disease in the ISCHEMIA trial.,EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology,2024,39432255
s Disease,Dietary Flavonoid Chrysin Functions as a Dual Modulator to Attenuate Amyloid-β and Tau Pathology in the Models of Alzheimer's Disease.,Molecular neurobiology,2024,39432184
s disease,Prevalence and features of headache in Parkinson's disease: the role of dopamine.,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2024,39432180
s disease,Potential hypothesis for the increased risk of Parkinson´s disease following COVID-19.,Molecular biology reports,2024,39432143
s syndrome patients with interstitial lung disease,Meta-analysis of mortality-associated factors in primary Sjögren's syndrome patients with interstitial lung disease.,Clinical rheumatology,2024,39432139
s disease,Glycogen synthase kinase 3 (GSK3) inhibition: a potential therapeutic strategy for Alzheimer's disease.,Naunyn-Schmiedeberg's archives of pharmacology,2024,39432068
Predicting disease,Predicting disease-free survival in locally advanced rectal cancer using a prognostic model based on pretreatment b-value threshold map and postoperative pathologic features.,Japanese journal of radiology,2024,39432017
A measles virus collective infectious unit that caused lethal human brain disease,A measles virus collective infectious unit that caused lethal human brain disease includes many locally restricted and few widespread copy-back defective genomes.,Journal of virology,2024,39431848
mediated disease,Comprehensive phage display viral antibody profiling using VirScan: potential applications in chronic immune-mediated disease.,Journal of virology,2024,39431820
s Disease,"Effects of Family Audio Recordings on Depression, Cognitive Function, and Sleep Quality of Individuals With Alzheimer's Disease: A Randomized Controlled Trial.",Journal of gerontological nursing,2024,39431763
Cassava disease,Cassava disease detection using a lightweight modified soft attention network.,Pest management science,2024,39431752
efficacy in patients with inflammatory bowel disease,Self-efficacy in patients with inflammatory bowel disease: the effect of self-care education by two randomized methods-teach-back and a smartphone application.,Health education research,2024,39431751
Kidney Disease,Kidney Disease Aging Research Collaborative (KDARC): Addressing barriers in geriatric nephrology research.,Journal of the American Geriatrics Society,2024,39431719
a challenging management for a challenging disease,Treating pyoderma gangrenosum during pregnancy and breastfeeding: a challenging management for a challenging disease.,International journal of dermatology,2024,39431624
Surgical Recovery Through the Lens of Patients with Colorectal Disease,Surgical Recovery Through the Lens of Patients with Colorectal Disease: A Qualitative Study in an Enhanced Recovery after Surgery Setting.,Journal of the American College of Surgeons,2024,39431618
Composition Analysis of Rectus Femoris Muscle in Healthy Adults and Chronic Kidney Disease,Comparison of Shear-Wave Elastography USG and CT: Composition Analysis of Rectus Femoris Muscle in Healthy Adults and Chronic Kidney Disease Patients.,Journal of clinical ultrasound : JCU,2024,39431601
Development and validation of a chronic kidney disease,Development and validation of a chronic kidney disease progression model using patient-level simulations.,Renal failure,2024,39431558
The biological basis for current treatment strategies for granulomatous disease in common variable immunodeficiency,The biological basis for current treatment strategies for granulomatous disease in common variable immunodeficiency.,Current opinion in allergy and clinical immunology,2024,39431514
learning algorithm to grade heart murmurs and stage preclinical myxomatous mitral valve disease,A machine-learning algorithm to grade heart murmurs and stage preclinical myxomatous mitral valve disease in dogs.,Journal of veterinary internal medicine,2024,39431513
s Disease,Prospective Connectomic-Based Deep Brain Stimulation Programming for Parkinson's Disease.,Movement disorders : official journal of the Movement Disorder Society,2024,39431498
s Disease,Medication Use and Treatment Indications in Huntington's Disease; Analyses from a Large Cohort.,Movement disorders clinical practice,2024,39431460
s disease,Dopamine loss alters glutamate synapses and transporters in the medial prefrontal cortex and anxiety-related behaviour in a male MPTP rodent model of Parkinson's disease.,The European journal of neuroscience,2024,39431445
Effectiveness of Mobile Application Disease,Effectiveness of Mobile Application Disease Self-Management Programme on Mental Health and Self-Management of Patients With Hypertension: A Randomised Controlled Trial.,International journal of nursing practice,2024,39431412
Derived Psoas Muscle Area and Survival in Patients Treated Invasively for Peripheral Arterial Disease,Magnetic Resonance Imaging - Derived Psoas Muscle Area and Survival in Patients Treated Invasively for Peripheral Arterial Disease.,Scandinavian journal of surgery : SJS : official organ for the Finnish Surgical Society and the Scandinavian Surgical Society,2024,39431407
Chester Disease,A rare and misleading condition: isolated skeletal involvement of Erdheim-Chester Disease.,"Arthritis & rheumatology (Hoboken, N.J.)",2024,39431401
a national project for the impact assessment of the disease,[The COVID-19 pandemic on immigrants: a national project for the impact assessment of the disease and effective interventions to reduce the spread and promote health].,Epidemiologia e prevenzione,2024,39431384
Extent of salvage neck dissection for residual or recurrent cervical nodal disease,Extent of salvage neck dissection for residual or recurrent cervical nodal disease.,The Journal of laryngology and otology,2024,39431369
and quality of care on the neurocognitive outcome in maple syrup urine disease,"Impact of early diagnosis, disease variant, and quality of care on the neurocognitive outcome in maple syrup urine disease: a meta-analysis.",Genetics in medicine : official journal of the American College of Medical Genetics,2024,39431354
a systematic analysis for the Global Burden of Disease,Global patterns and trends of suicide mortality and years of life lost among adolescents and young adults from 1990 to 2021: a systematic analysis for the Global Burden of Disease Study 2021.,Epidemiology and psychiatric sciences,2024,39431336
Parkinson Disease,Parkinson Disease -Targeted Nanocapsules for Synergistic Treatment: Combining Dopamine Replacement and Neuroinflammation Mitigation.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2024,39431293
s disease,"The potential of exosomal biomarkers: Revolutionizing Parkinson's disease: How do they influence pathogenesis, diagnosis, and therapeutic strategies?",AIMS neuroscience,2024,39431275
s disease,Novel perspective of therapeutic modules to overcome motor and nonmotor symptoms in Parkinson's disease.,AIMS neuroscience,2024,39431269
s Disease,"Knowledge, Attitudes, and Practices of Barangay Health Workers in Marawi City regarding Hansen's Disease.",Acta medica Philippina,2024,39431254
s disease,Comparison of the effectiveness of modafinil and methylphenidate in treatment of excessive daytime sleepiness in patients with Parkinson's disease.,Current journal of neurology,2024,39431232
The epidemiology of very severe anaemia in sickle cell disease,The epidemiology of very severe anaemia in sickle cell disease in Tanzania: a prospective cohort study.,EClinicalMedicine,2024,39431111
expression in tuberculosis disease,Interleukin-26 expression in tuberculosis disease and its regulatory effect in macrophage polarization and intracellular elimination of <i>Mycobacterium tuberculosis</i>.,Frontiers in cellular and infection microbiology,2024,39431054
s disease,Tau‑targeting multifunctional nanocomposite based on tannic acid-metal for near-infrared fluorescence/magnetic resonance bimodal imaging-guided combinational therapy in Alzheimer's disease.,Theranostics,2024,39431022
s disease,Highly potent and selective PPARδ agonist reverses memory deficits in mouse models of Alzheimer's disease.,Theranostics,2024,39431021
s disease,PET imaging of microglia in Alzheimer's disease using copper-64 labeled TREM2 antibodies.,Theranostics,2024,39431020
s disease,"A novel ferroptosis inhibitor, Thonningianin A, improves Alzheimer's disease by activating GPX4.",Theranostics,2024,39431016
Longitudinal trends in physical activity levels and lifetime cardiovascular disease,Longitudinal trends in physical activity levels and lifetime cardiovascular disease risk: insights from the ATTICA cohort study (2002-2022).,Journal of preventive medicine and hygiene,2024,39430987
s disease,The impact of aerobic exercise dose based on ACSM recommendations on patients with Parkinson's disease: a systematic review and meta-analysis of randomized controlled trials.,Frontiers in aging neuroscience,2024,39430975
s disease,Pathogenesis of Alzheimer's disease and therapeutic strategies involving traditional Chinese medicine.,RSC medicinal chemistry,2024,39430949
A case of extensive xanthomas and premature coronary artery disease,Early-onset familial hypercholesterolemia: A case of extensive xanthomas and premature coronary artery disease.,Clinical case reports,2024,39430921
Transition towards cancer mortality predominance over cardiovascular disease,"Transition towards cancer mortality predominance over cardiovascular disease mortality in Brazil, 2000-2019: a population-based study.",Lancet regional health. Americas,2024,39430885
s Disease,Caffeine Use in Huntington's Disease: A Single Center Survey.,"Tremor and other hyperkinetic movements (New York, N.Y.)",2024,39430810
Stage Renal Disease,"Empagliflozin Use Is Associated With Lower Risk of All-Cause Mortality, Hospitalization for Heart Failure, and End-Stage Renal Disease Compared to DPP-4i in Nordic Type 2 Diabetes Patients: Results From the EMPRISE (Empagliflozin Comparative Effectiveness and Safety) Study.",Journal of diabetes research,2024,39430801
Maximum disease,Maximum disease diameter is associated with outcomes in stage II follicular lymphoma treated with radiation therapy alone.,Clinical and translational radiation oncology,2024,39430799
Effects of quinoa on cardiovascular disease,Effects of quinoa on cardiovascular disease and diabetes: a review.,Frontiers in nutrition,2024,39430786
Association between advanced lung cancer inflammation index and chronic kidney disease,Association between advanced lung cancer inflammation index and chronic kidney disease: a cross-sectional study.,Frontiers in nutrition,2024,39430784
based quantification of powdery mildew disease,Spray inoculation and image analysis-based quantification of powdery mildew disease severity on pea leaves.,MethodsX,2024,39430780
and comorbid obstructive lung disease,Systemic increase in IL-26 is associated with severe COVID-19 and comorbid obstructive lung disease.,Frontiers in immunology,2024,39430762
a new frontier in skin disease,Unveiling ferroptosis: a new frontier in skin disease research.,Frontiers in immunology,2024,39430757
chamber leadless pacemaker in complex adult congenital heart disease,Dual-chamber leadless pacemaker in complex adult congenital heart disease: a case report.,European heart journal. Case reports,2024,39430679
Overdiagnosis and overtreatment of infectious diseases at the intersection of individual disease,"Overdiagnosis and overtreatment of infectious diseases at the intersection of individual disease diagnosis, treatment, and public health.",Journal of the American College of Emergency Physicians open,2024,39430664
s Disease,"Corrigendum to ""Rare but Not so Rare? The Evolving Spectrum of Whipple's Disease"".",The Canadian journal of infectious diseases & medical microbiology = Journal canadien des maladies infectieuses et de la microbiologie medicale,2024,39430620
s disease,Acupuncture for early Parkinson's disease with mild to moderate depression: a randomized controlled trial protocol with functional MRI.,Frontiers in neurology,2024,39430584
Sachs disease,Novel <i>HexA</i> splice site mutations in a patient with late atypical onset Tay-Sachs disease: importance of combined NGS and biochemical analysis.,Frontiers in neurology,2024,39430583
Regenerative medicine in cardiovascular disease,Regenerative medicine in cardiovascular disease.,Regenerative therapy,2024,39430582
diabetes mellitus with chronic kidney disease,Diabetes self-care and its associated factors among type 2 diabetes mellitus with chronic kidney disease patients in the East Coast of Peninsular Malaysia.,PeerJ,2024,39430555
Analyzing Cardiovascular Disease,Analyzing Cardiovascular Disease Research in the Arab Region: A Bibliometric Review From 2012 to 2022.,International journal of vascular medicine,2024,39430549
Vegetarian dietary patterns and cardiovascular risk factors and disease,Vegetarian dietary patterns and cardiovascular risk factors and disease prevention: An umbrella review of systematic reviews.,American journal of preventive cardiology,2024,39430429
Correlation Between Intrinsic Capacity and Muscle Strength and Quality in Older Patients with Cardiovascular Disease,Correlation Between Intrinsic Capacity and Muscle Strength and Quality in Older Patients with Cardiovascular Disease: A Cross-Sectional Study.,Clinical interventions in aging,2024,39430427
Angiotensin System Inhibitors on Disease,Impact of Renin-Angiotensin System Inhibitors on Disease Characteristics in Patients with Localized Prostate Cancer Treated with Radical Prostatectomy: A European Association of Urology Young Academic Urologists Prostate Cancer Working Group Multi-institutional Study.,European urology open science,2024,39430410
Cardiac power output associated with hospitalization and mortality in coronary artery disease,Cardiac power output associated with hospitalization and mortality in coronary artery disease patients at stage B heart failure.,International journal of cardiology. Heart & vasculature,2024,39430397
Lindau disease,Spinal cord hemangioblastomas in von Hippel-Lindau disease.,Neuro-oncology advances,2024,39430395
level investigation of the genetic relationship between gastroesophageal reflux disease,A multi-level investigation of the genetic relationship between gastroesophageal reflux disease and lung cancer.,Translational lung cancer research,2024,39430334
Double immune checkpoint inhibitor therapy for unresectable pleural mesothelioma rarely induces hyperprogressive disease,Double immune checkpoint inhibitor therapy for unresectable pleural mesothelioma rarely induces hyperprogressive disease: a case report.,Translational lung cancer research,2024,39430317
s Disease,Exenatide-Modified Deferoxamine-Based Nanoparticles Ameliorates Neurological Deficits in Parkinson's Disease Mice.,International journal of nanomedicine,2024,39430307
Inflammasome in Chronic Kidney Disease,Therapy Targeted to the NLRP3 Inflammasome in Chronic Kidney Disease.,"Kidney diseases (Basel, Switzerland)",2024,39430292
in Podocyte Biology and Glomerular Disease,Role and Mechanisms of Tyro3 in Podocyte Biology and Glomerular Disease.,"Kidney diseases (Basel, Switzerland)",2024,39430290
Cell Transcriptomics Reveals Causal Links between B Cell Subtypes and Diabetic Kidney Disease,Integrative Analysis by Mendelian Randomization and Large-Scale Single-Cell Transcriptomics Reveals Causal Links between B Cell Subtypes and Diabetic Kidney Disease.,"Kidney diseases (Basel, Switzerland)",2024,39430286
The changes in cardiovascular disease,The changes in cardiovascular disease risk factors after the implementation of the package of essential non-communicable disease control.,Journal of cardiovascular and thoracic research,2024,39430278
communicable disease,The changes in cardiovascular disease risk factors after the implementation of the package of essential non-communicable disease control.,Journal of cardiovascular and thoracic research,2024,39430278
term Prognosis of Pediatric Ocular Disease,Long-term Prognosis of Pediatric Ocular Disease.,Juntendo Iji zasshi = Juntendo medical journal,2024,39430206
Elevated Ambient Temperature Associated With Increased Cardiovascular Disease,Elevated Ambient Temperature Associated With Increased Cardiovascular Disease-Risk Among Patients on Hemodialysis.,Kidney international reports,2024,39430197
acetylcysteine in Kidney Disease,"N-acetylcysteine in Kidney Disease: Molecular Mechanisms, Pharmacokinetics, and Clinical Effectiveness.",Kidney international reports,2024,39430194
Levels With Disease,Correlation of Urinary Soluble CD163 Levels With Disease Activity and Treatment Response in IgA Nephropathy.,Kidney international reports,2024,39430181
Clinical Outcomes of a Novel Multidisciplinary Care Program in Advanced Kidney Disease,Clinical Outcomes of a Novel Multidisciplinary Care Program in Advanced Kidney Disease (PEAK).,Kidney international reports,2024,39430180
and Kidney Disease,"Climate Change, Heat Stress, and Kidney Disease-Associated Mortality and Health Care Utilization.",Kidney international reports,2024,39430176
Copy Number Variation in Monogenic Kidney Disease,Missing in Plain Sight No More? Copy Number Variation in Monogenic Kidney Disease.,Kidney international reports,2024,39430168
Intrafamilial Disease,Intrafamilial Disease Heterogeneity in Primary Hyperoxaluria Type 1.,Kidney international reports,2024,39430166
